job_description,resume_text,label
"We are looking for a DevOps Engineer with experience in Docker, Kubernetes, Node.js.","Experienced DevOps Engineer skilled in Docker, Kubernetes, Node.js, Problem Solving. Problem Solving.",1
"We are looking for a Data Scientist with experience in Node.js, Kubernetes, AWS.","Product Manager with expertise in Java, Docker, Machine Learning.",0
"We are looking for a Data Scientist with experience in JavaScript, Node.js, Python.","Product Manager with expertise in Java, SQL, AWS.",0
"We are looking for a DevOps Engineer with experience in JavaScript, Docker, Kubernetes.","Data Scientist with expertise in Node.js, Python, SQL.",0
"We are looking for a Data Scientist with experience in Node.js, SQL, Docker.","DevOps Engineer with expertise in Kubernetes, JavaScript, React.",0
"We are looking for a DevOps Engineer with experience in Docker, Machine Learning, AWS.","Experienced DevOps Engineer skilled in Docker, Machine Learning, AWS, Problem Solving. Leadership.",1
"We are looking for a Software Engineer with experience in React, Node.js, Docker.","Experienced Software Engineer skilled in React, Node.js, Docker, Communication. Communication.",1
"We are looking for a DevOps Engineer with experience in SQL, Java, Node.js.","Software Engineer with expertise in Machine Learning, React, Kubernetes.",0
"We are looking for a Data Scientist with experience in Kubernetes, Node.js, React.","Experienced Data Scientist skilled in Kubernetes, Node.js, React, Leadership. Communication.",1
"We are looking for a Product Manager with experience in Machine Learning, JavaScript, Python.","Experienced Product Manager skilled in Machine Learning, JavaScript, Python, Teamwork. Communication.",1
"We are looking for a Data Scientist with experience in Node.js, Python, AWS.","Experienced Data Scientist skilled in Node.js, Python, AWS, Teamwork. Leadership.",1
"We are looking for a Software Engineer with experience in AWS, JavaScript, Kubernetes.","Data Scientist with expertise in React, SQL, Node.js.",0
"We are looking for a Data Scientist with experience in Node.js, JavaScript, AWS.","Experienced Data Scientist skilled in Node.js, JavaScript, AWS, Leadership. Communication.",1
"We are looking for a Data Scientist with experience in React, Docker, SQL.","Software Engineer with expertise in AWS, JavaScript, Python.",0
"We are looking for a Data Scientist with experience in Python, AWS, React.","DevOps Engineer with expertise in JavaScript, SQL, Java.",0
"We are looking for a Data Scientist with experience in Kubernetes, Node.js, SQL.","Experienced Data Scientist skilled in Kubernetes, Node.js, SQL, Leadership. Teamwork.",1
"We are looking for a Product Manager with experience in JavaScript, Kubernetes, Docker.","Experienced Product Manager skilled in JavaScript, Kubernetes, Docker, Problem Solving. Teamwork.",1
"We are looking for a Software Engineer with experience in Docker, Node.js, Java.","Experienced Software Engineer skilled in Docker, Node.js, Java, Problem Solving. Communication.",1
"We are looking for a Data Scientist with experience in Docker, Machine Learning, JavaScript.","Experienced Data Scientist skilled in Docker, Machine Learning, JavaScript, Leadership. Problem Solving.",1
"We are looking for a Product Manager with experience in Python, Java, Node.js.","Experienced Product Manager skilled in Python, Java, Node.js, Leadership. Teamwork.",1
"We are looking for a DevOps Engineer with experience in Node.js, Java, React.","Experienced DevOps Engineer skilled in Node.js, Java, React, Leadership. Problem Solving.",1
"We are looking for a Software Engineer with experience in AWS, Python, Docker.","Experienced Software Engineer skilled in AWS, Python, Docker, Teamwork. Teamwork.",1
"We are looking for a Product Manager with experience in Kubernetes, Python, AWS.","DevOps Engineer with expertise in Node.js, Java, Machine Learning.",0
"We are looking for a Product Manager with experience in Node.js, Docker, Java.","Experienced Product Manager skilled in Node.js, Docker, Java, Teamwork. Problem Solving.",1
"We are looking for a Product Manager with experience in Docker, Node.js, JavaScript.","Experienced Product Manager skilled in Docker, Node.js, JavaScript, Teamwork. Problem Solving.",1
"We are looking for a Data Scientist with experience in JavaScript, Java, Node.js.","Experienced Data Scientist skilled in JavaScript, Java, Node.js, Leadership. Leadership.",1
"We are looking for a DevOps Engineer with experience in React, JavaScript, Machine Learning.","Software Engineer with expertise in Node.js, Python, AWS.",0
"We are looking for a Product Manager with experience in Machine Learning, React, Node.js.","DevOps Engineer with expertise in AWS, Python, JavaScript.",0
"We are looking for a Data Scientist with experience in Python, Machine Learning, SQL.","Experienced Data Scientist skilled in Python, Machine Learning, SQL, Problem Solving. Problem Solving.",1
"We are looking for a Software Engineer with experience in Java, Node.js, React.","Experienced Software Engineer skilled in Java, Node.js, React, Leadership. Teamwork.",1
"We are looking for a Data Scientist with experience in SQL, JavaScript, Docker.","DevOps Engineer with expertise in Machine Learning, Kubernetes, AWS.",0
"We are looking for a Software Engineer with experience in JavaScript, AWS, Node.js.","Product Manager with expertise in Java, React, Kubernetes.",0
"We are looking for a DevOps Engineer with experience in Java, JavaScript, SQL.","Experienced DevOps Engineer skilled in Java, JavaScript, SQL, Leadership. Communication.",1
"We are looking for a DevOps Engineer with experience in Node.js, Machine Learning, SQL.","Software Engineer with expertise in Kubernetes, Java, JavaScript.",0
